,Name,G,GS,MP,eFG%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
0,Alaa Abdelnaby,-0.1977339738619431,-0.38432441757069147,-0.4719927543278302,0.43010286321692465,0.31767798867228336,0.1133113870924862,0.18436116066630756,-0.8020238729872704,-0.6426467665114997,-0.08560418733176867,-0.06297813332668738,-0.17275375295845657
1,Kareem Abdul-Jabbar,3.680361513500404,2.0340741346609414,2.272378661809662,0.9661361615069053,2.152191266946789,3.7082058006651657,3.8858581059667947,1.4523718578652773,0.8654264714726144,5.666358113127603,2.4245597297441357,3.717101872783928
2,Mahmoud Abdul-Rauf,0.7836858964061356,0.8121909500543997,1.1317139991352314,0.1479800746432506,-0.6701368534755275,-0.352693444296565,-0.47160032331099394,1.3840568357182306,0.6140809318085955,-0.5857748221543226,0.814976406580662,1.6589772030789622
3,Tariq Abdul-Wahad,-0.25721396599940244,0.0046487761448858545,0.42021029865514054,-0.3222245729795398,0.458794394693399,0.046739268322621694,0.18436116066630756,-0.25550369581089516,0.6140809318085955,0.16448113007950843,0.3759991366269873,0.25945242767958604
4,Shareef Abdur-Rahim,1.5093418004831394,2.368083724916709,2.046504471181062,0.21380872531044082,2.0110748609256732,2.177047068958284,2.1522456125982123,0.7009066142477615,1.1167720111366333,1.1648223997246165,2.278233973092911,2.3793208374757007
5,lex Abrines,-0.4416019416255263,-0.5407592889563041,-0.07671292072777981,0.6463970011234085,-0.8112532594966435,-0.6189819193760228,-0.7058722818743159,-0.6653938286931766,-0.1399556871834616,-0.5857748221543226,-0.9409326732340365,-0.25507873974665524
6,Alex Acker,-0.8698578850152334,-0.6084068009068393,-1.0027971023050406,-0.4068614095516427,-0.8112532594966435,-0.8852703944554806,-0.8932898487249735,-0.6653938286931766,-0.8939923061755186,-0.5857748221543226,-0.9409326732340365,-0.7901911538699461
7,Mark Acres,0.15617197935593985,-0.3209048751170647,-0.07671292072777981,0.4959315138841154,0.8821436127567466,0.3130277434020794,0.5591962943676226,-0.6653938286931766,-0.39130122684748053,-0.08560418733176867,-0.6482811599315869,-0.6049599335964992
8,Quincy Acy,0.043159994294767134,-0.3547286310923323,-0.07671292072777981,0.5335478856939386,0.03544517663005162,0.3795998621719439,0.27806994409163643,-0.5970788065461298,-0.39130122684748053,0.16448113007950843,-0.6482811599315869,-0.33740372653485373
9,Alvan Adams,1.979233738369068,0.8375587670358504,1.2220636753866714,0.3924864914071014,1.5877256428623259,1.9773307126486905,1.9179736540348904,1.7939469686005118,1.8708086301286906,1.1648223997246165,2.278233973092911,1.556070969593714
10,Hassan Adams,-0.7419759019196959,-0.5745830449315718,-1.0366782308993308,0.7310338376955109,-0.5290204474544117,-0.8852703944554806,-0.7995810652996447,-0.8703388951343174,-0.8939923061755186,-0.5857748221543226,-0.9409326732340365,-0.8313536472640455
11,Jaylen Adams,-0.8579618865877415,-0.6041788314099309,-0.4606990447964002,0.025726866261324446,-0.8112532594966435,-0.41926556306642954,-0.5184547150236583,0.2910164813654799,-0.39130122684748053,-0.5857748221543226,-0.35562964662913704,-0.6872849203846979
12,Jordan Adams,-0.8639098858014874,-0.6084068009068393,-0.9576222641793207,0.00691868035641333,-0.8112532594966435,-0.8852703944554806,-0.9401442404376379,-0.5970788065461298,0.11138985248055733,-0.3356895047430456,-0.7946069165828117,-0.6872849203846979
13,Michael Adams,0.9829438700666243,1.5478576425164698,1.651224637581012,0.17619235350061754,-0.38790404143329593,0.1798835058623504,-0.00305640618434999,3.365192477982591,2.8761907887847666,-0.5857748221543226,1.5466051898367863,1.6795584497760119
14,Steven Adams,0.4297799431882527,1.0954649063472657,1.1430077086666615,1.238854857128124,3.704471733179063,1.2450374061801817,2.105391220885548,-0.32381871795794215,0.8654264714726144,1.6649930345471704,0.522324893278212,0.6504961149235293
15,Rafael Addison,0.1680679777834317,-0.380096448073783,-0.18965001604207993,0.0915555169285157,-0.24678763541218013,-0.41926556306642954,-0.3778915398856651,-0.392133740104989,-0.39130122684748053,-0.3356895047430456,-0.501955403280362,-0.152172506261407
16,Bam Adebayo,-0.5100039325836045,-0.40969223455214215,0.5670285225637307,0.8909034178872598,1.4466092368412098,1.7110422375692325,1.6837016954715682,0.2910164813654799,0.3627353921445763,0.9147370823133393,0.2296733799757623,0.30061492107368537
17,Deng Adel,-0.902571880690836,-0.595722892416114,-0.7317480735507206,-0.6325596404105819,-0.9523696655177591,-0.8186982756856162,-0.8932898487249735,-0.8020238729872704,-1.1453378458395376,-0.3356895047430456,-1.0872584298852614,-0.9960036208404427
18,Jeff Adrien,-0.5040559333698585,-0.5365313194593957,-0.30258711135638006,0.16678826054816173,0.7410272067356306,0.5793162184815371,0.6529050777929515,-0.5287637843990829,-0.6426467665114997,0.41456644749078536,-0.6482811599315869,-0.39914746662600287
19,Arron Afflalo,1.3071098272157777,1.662012818932998,1.1994762563238115,0.5429519786463944,-0.6701368534755275,0.2464556246322149,-0.00305640618434999,0.22270145921843312,-0.39130122684748053,-0.3356895047430456,0.08334762332453763,0.8768898285910758
20,Maurice Ager,-0.7152099054578391,-0.5914949229192055,-1.183496454807921,-0.830045592412154,-1.093486071538875,-1.0184146319952094,-1.080707415575631,-0.8703388951343174,-1.1453378458395376,-0.5857748221543226,-0.9409326732340365,-0.9136786340522441
21,Mark Aguirre,1.785923763922325,2.0932657076176597,1.5044064136724218,0.3924864914071014,1.3054928308200942,0.7124604560212662,0.9808858197816024,1.1107967471300428,0.3627353921445763,-0.08560418733176867,2.1319082164416856,2.7703645247196436
