Name,Season,Lg,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeff Martin,Career,NBA,143.0,49.0,18.8,2.7,6.4,0.41700000000000004,0.2,0.7,0.282,2.5,5.7,0.434,0.433,1.1,1.6,0.6940000000000001,0.9,1.1,2.0,0.8,0.5,0.3,0.7,1.4,6.7
Kenyon Martin,Career,NBA,757.0,667.0,30.6,5.1,10.6,0.483,0.1,0.4,0.23399999999999999,5.0,10.2,0.49200000000000005,0.48700000000000004,2.0,3.2,0.629,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3
Kevin Martin,Career,NBA,714.0,504.0,30.2,5.4,12.3,0.43700000000000006,1.6,4.2,0.384,3.8,8.2,0.46399999999999997,0.502,5.0,5.7,0.87,0.6,2.6,3.2,1.9,0.9,0.1,1.7,1.9,17.4
Maurice Martin,Career,NBA,69.0,0.0,6.1,1.1,2.8,0.37799999999999995,0.1,0.3,0.21100000000000002,1.0,2.6,0.395,0.38799999999999996,0.8,1.3,0.598,0.4,0.6,0.9,0.7,0.3,0.1,0.6,1.0,3.0
Jamal Mashburn,Career,NBA,611.0,584.0,37.3,7.0,16.7,0.418,1.3,3.6,0.345,5.7,13.1,0.439,0.456,3.8,5.0,0.7659999999999999,1.1,4.2,5.4,4.0,1.0,0.2,2.6,2.5,19.1
Anthony Mason,Career,NBA,882.0,559.0,34.7,4.1,8.0,0.509,0.0,0.0,0.16699999999999998,4.1,8.0,0.51,0.51,2.8,4.0,0.7090000000000001,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9
Desmond Mason,Career,NBA,643.0,385.0,30.5,4.6,10.2,0.449,0.1,0.4,0.26,4.5,9.8,0.456,0.45399999999999996,2.9,3.9,0.74,1.3,3.2,4.5,1.6,0.7,0.4,1.6,2.2,12.1
Frank Mason III,Career,NBA,90.0,2.0,15.8,2.4,6.1,0.392,0.5,1.7,0.3,1.9,4.4,0.426,0.433,1.5,1.9,0.773,0.4,1.5,1.9,2.6,0.6,0.2,1.1,1.2,6.8
Roger Mason,Career,NBA,518.0,103.0,17.7,2.3,5.7,0.408,1.1,3.0,0.38299999999999995,1.2,2.7,0.435,0.509,0.6,0.7,0.866,0.2,1.6,1.7,1.3,0.4,0.1,0.7,1.4,6.3
Tony Massenburg,Career,NBA,683.0,233.0,18.0,2.4,5.1,0.47,0.0,0.0,0.091,2.4,5.1,0.47100000000000003,0.47,1.4,2.0,0.705,1.5,2.8,4.3,0.4,0.4,0.5,1.0,2.4,6.2
Yante Maten,Career,NBA,2.0,0.0,6.5,0.5,2.0,0.25,0.0,0.5,0.0,0.5,1.5,0.33299999999999996,0.25,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.5,0.0,0.0,0.0,1.0
Mangok Mathiang,Career,NBA,4.0,0.0,5.0,1.0,1.8,0.5710000000000001,0.0,0.0,0.0,1.0,1.8,0.5710000000000001,0.5710000000000001,0.0,0.3,0.0,0.8,1.8,2.5,0.0,0.3,0.0,0.0,1.3,2.0
Wes Matthews,Career,NBA,465.0,102.0,20.0,3.1,6.6,0.478,0.1,0.3,0.225,3.1,6.2,0.49200000000000005,0.484,1.5,1.9,0.7879999999999999,0.4,1.0,1.3,4.2,1.0,0.2,2.1,2.1,7.9
Wesley Matthews,Career,NBA,724.0,662.0,32.6,4.7,11.0,0.425,2.1,5.6,0.382,2.5,5.4,0.47,0.522,2.2,2.6,0.826,0.5,2.6,3.1,2.2,1.1,0.2,1.3,2.2,13.7
Marlon Maxey,Career,NBA,98.0,5.0,11.7,1.9,3.4,0.542,0.0,0.0,0.0,1.9,3.4,0.547,0.542,1.2,1.7,0.685,1.4,2.3,3.7,0.2,0.3,0.5,0.8,1.9,4.9
Jason Maxiell,Career,NBA,618.0,188.0,18.4,2.3,4.6,0.495,0.0,0.0,0.0,2.3,4.6,0.496,0.495,1.1,2.0,0.564,1.7,2.5,4.2,0.4,0.4,0.8,0.8,1.9,5.6
Cedric Maxwell,Career,NBA,835.0,537.0,28.5,4.1,7.5,0.546,0.0,0.0,0.053,4.1,7.5,0.547,0.546,4.3,5.5,0.784,2.5,3.8,6.3,2.2,0.8,0.5,2.2,2.7,12.5
Vernon Maxwell,Career,NBA,855.0,497.0,28.4,4.6,11.6,0.39799999999999996,1.5,4.6,0.32,3.1,7.0,0.45,0.462,2.1,2.9,0.733,0.4,2.1,2.6,3.4,1.1,0.2,1.9,2.1,12.8
Scott May,Career,NBA,355.0,8.0,22.6,4.0,8.7,0.462,0.0,0.0,0.0,4.0,8.7,0.46299999999999997,0.462,2.3,2.9,0.8109999999999999,1.4,2.7,4.1,1.7,0.8,0.1,1.5,2.2,10.4
Sean May,Career,NBA,119.0,25.0,15.7,2.7,5.9,0.45799999999999996,0.0,0.1,0.231,2.7,5.8,0.462,0.46,1.4,1.9,0.746,1.3,2.7,4.0,1.0,0.4,0.4,1.1,2.0,6.9
Lee Mayberry,Career,NBA,496.0,150.0,20.8,1.9,4.6,0.415,0.8,2.0,0.377,1.2,2.6,0.446,0.498,0.5,0.8,0.659,0.3,1.0,1.3,3.6,0.7,0.1,1.2,1.7,5.1
Tharon Mayes,Career,NBA,24.0,0.0,10.6,1.3,4.1,0.303,0.6,1.7,0.366,0.6,2.4,0.259,0.379,1.0,1.5,0.667,0.1,0.5,0.7,1.5,0.7,0.1,1.3,1.7,4.1
Eric Maynor,Career,NBA,267.0,2.0,14.6,1.6,4.2,0.392,0.4,1.2,0.35,1.2,3.0,0.409,0.442,0.6,0.8,0.721,0.3,1.1,1.3,2.8,0.4,0.1,1.1,1.1,4.3
